Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
5,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0
2,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,52.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
3,50.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
5,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
5,70.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
4,60.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
6,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
5,40.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,66.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
5,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
9,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,70.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
6,70.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
4,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
5,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,30.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
8,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
5,54.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
4,50.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
7,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,45.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
7,42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
7,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
9,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,40.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
5,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
4,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,70.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,60.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,42.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,70.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,20.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
9,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
9,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
4,45.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
7,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
4,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
5,60.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
3,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
3,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,42.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,44.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
5,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
7,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
6,36.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,52.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,56.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,55.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,74.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
3,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
8,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
4,65.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
4,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
7,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
3,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
9,40.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
3,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
6,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,60.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
8,40.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
4,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,45.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,36.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
7,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,12.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,48.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2,42.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
5,52.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
9,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,34.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
4,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
8,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,36.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
9,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,45.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,45.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,52.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
8,48.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,72.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
4,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
4,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,66.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
9,36.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
2,40.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
5,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,48.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
4,42.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
9,72.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,65.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
5,42.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
7,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
5,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,48.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,50.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
5,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
3,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
9,70.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
3,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,60.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
9,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
4,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
7,48.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
5,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,45.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,40.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,48.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4,60.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
9,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,60.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
3,35.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
8,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2,40.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
4,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,60.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
2,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
2,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
